"language","rank","channel_name","language_reactor_displayed_count","youtube_search_url","language_reactor_catalog_url"
"fr","35","Radio-Canada Info","331","https://www.youtube.com/results?search_query=Radio-Canada%20Info","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","36","Tout Simplement – Kurzgesagt","64","https://www.youtube.com/results?search_query=Tout%20Simplement%20%E2%80%93%20Kurzgesagt","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","37","imineo Documentaires","581","https://www.youtube.com/results?search_query=imineo%20Documentaires","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","38","Solange te parle","113","https://www.youtube.com/results?search_query=Solange%20te%20parle","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","39","Jamy - Epicurieux","409","https://www.youtube.com/results?search_query=Jamy%20-%20Epicurieux","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","40","Cyrus North","233","https://www.youtube.com/results?search_query=Cyrus%20North","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","41","COLAS BIM","20","https://www.youtube.com/results?search_query=COLAS%20BIM","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","42","DirtyBiology","147","https://www.youtube.com/results?search_query=DirtyBiology","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","43","Golden Moustache (M6)","168","https://www.youtube.com/results?search_query=Golden%20Moustache%20(M6)","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","44","French Connection","51","https://www.youtube.com/results?search_query=French%20Connection","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","45","Konbini","241","https://www.youtube.com/results?search_query=Konbini","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","46","Montreux Comedy","400","https://www.youtube.com/results?search_query=Montreux%20Comedy","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","47","Le French Club","306","https://www.youtube.com/results?search_query=Le%20French%20Club","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","48","maprofdefrançais","226","https://www.youtube.com/results?search_query=maprofdefran%C3%A7ais","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","49","C'est une autre histoire","169","https://www.youtube.com/results?search_query=C'est%20une%20autre%20histoire","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","50","Parlez-vous FRENCH : Cours de français","217","https://www.youtube.com/results?search_query=Parlez-vous%20FRENCH%20%3A%20Cours%20de%20fran%C3%A7ais","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"en","1","TED","753","https://www.youtube.com/results?search_query=TED","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","2","TED-Ed","293","https://www.youtube.com/results?search_query=TED-Ed","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","3","Genius","423","https://www.youtube.com/results?search_query=Genius","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","4","Rachel's English","407","https://www.youtube.com/results?search_query=Rachel's%20English","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","5","Speak English With Vanessa","311","https://www.youtube.com/results?search_query=Speak%20English%20With%20Vanessa","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","6","National Geographic","328","https://www.youtube.com/results?search_query=National%20Geographic","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","7","The Real Daytime","807","https://www.youtube.com/results?search_query=The%20Real%20Daytime","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","8","BBC Learning English","111","https://www.youtube.com/results?search_query=BBC%20Learning%20English","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","9","English with Lucy","443","https://www.youtube.com/results?search_query=English%20with%20Lucy","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","10","MrBeast","41","https://www.youtube.com/results?search_query=MrBeast","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","11","The Tonight Show Starring Jimmy Fallon","231","https://www.youtube.com/results?search_query=The%20Tonight%20Show%20Starring%20Jimmy%20Fallon","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","12","Kurzgesagt – In a Nutshell","275","https://www.youtube.com/results?search_query=Kurzgesagt%20%E2%80%93%20In%20a%20Nutshell","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","13","BBC News","432","https://www.youtube.com/results?search_query=BBC%20News","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","14","Speak English With Tiffani","488","https://www.youtube.com/results?search_query=Speak%20English%20With%20Tiffani","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","15","Learn English With TV Series","301","https://www.youtube.com/results?search_query=Learn%20English%20With%20TV%20Series","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
